ID                       User               Name           User   Partition   Nodes   Cores   Decl._mem   Mem._%_usage    Eff.   CPU._used   Wall._Used   Wall._Req.              End_Time 
19596247_35      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.4%   97.8%    00:19:44     00:04:56     00:15:00   2026-03-11 14:36:47 
19596247_36      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   98.2%    00:21:12     00:05:18     00:15:00   2026-03-11 14:37:09 
19596247_37      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   98.2%    00:23:24     00:05:51     00:15:00   2026-03-11 14:37:42 
19596247_38      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   98.4%    00:25:12     00:06:18     00:15:00   2026-03-11 14:38:09 
19596247_39      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   98.5%    00:25:48     00:06:27     00:15:00   2026-03-11 14:38:18 
19596247_41      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   98.4%    00:27:28     00:06:52     00:15:00   2026-03-11 14:38:43 
19596247_42      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   98.5%    00:29:52     00:07:28     00:15:00   2026-03-11 14:39:19 
19596247_40      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB          32.2%   98.2%    00:30:04     00:07:31     00:15:00   2026-03-11 14:39:22 
19596247_43      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.9%   99.2%    00:34:24     00:08:36     00:15:00   2026-03-11 14:40:27 
19596247_44      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.0%    00:36:40     00:09:10     00:15:00   2026-03-11 14:41:01 
19596247_45      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.0%    00:39:32     00:09:53     00:15:00   2026-03-11 14:41:44 
19596247_46      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.4%   99.1%    00:40:40     00:10:10     00:15:00   2026-03-11 14:42:01 
19596247_47      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.1%    00:44:00     00:11:00     00:15:00   2026-03-11 14:42:51 
19596247_49      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.4%   99.1%    00:44:56     00:11:14     00:15:00   2026-03-11 14:43:05 
19596247_51      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   98.7%    00:44:56     00:11:14     00:15:00   2026-03-11 14:43:05 
19596247_48      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.2%    00:45:32     00:11:23     00:15:00   2026-03-11 14:43:14 
19596247_50      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.4%   98.8%    00:48:20     00:12:05     00:15:00   2026-03-11 14:43:56 
19596247_56      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.6%   98.9%    00:48:20     00:12:05     00:15:00   2026-03-11 14:43:56 
19596247_77      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.4%   99.2%    00:50:24     00:12:36     00:15:00   2026-03-11 14:44:27 
19596247_96      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.0%    00:50:48     00:12:42     00:15:00   2026-03-11 14:44:33 
19596247_98      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.0%    00:50:48     00:12:42     00:15:00   2026-03-11 14:44:33 
19596247_53      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   98.8%    00:51:08     00:12:47     00:15:00   2026-03-11 14:44:38 
19596247_69      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.4%   98.9%    00:51:12     00:12:48     00:15:00   2026-03-11 14:44:39 
19596247_52      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.8%   98.8%    00:51:32     00:12:53     00:15:00   2026-03-11 14:44:44 
19596247_89      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.0%    00:51:32     00:12:53     00:15:00   2026-03-11 14:44:44 
19596247_76      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.3%    00:52:12     00:13:03     00:15:00   2026-03-11 14:44:54 
19596247_59      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.0%    00:52:20     00:13:05     00:15:00   2026-03-11 14:44:56 
19596247_67      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.4%   99.1%    00:52:28     00:13:07     00:15:00   2026-03-11 14:44:58 
19596247_57      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   98.9%    00:52:48     00:13:12     00:15:00   2026-03-11 14:45:03 
19596247_54      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.6%   98.9%    00:53:04     00:13:16     00:15:00   2026-03-11 14:45:07 
19596247_66      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.9%   99.0%    00:53:04     00:13:16     00:15:00   2026-03-11 14:45:07 
19596247_55      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB          21.5%   99.0%    00:54:04     00:13:31     00:15:00   2026-03-11 14:45:22 
19596247_72      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB          21.4%   99.3%    00:54:04     00:13:31     00:15:00   2026-03-11 14:45:22 
19596247_68      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.8%   99.1%    00:54:20     00:13:35     00:15:00   2026-03-11 14:45:26 
19596247_61      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.9%   98.9%    00:54:40     00:13:40     00:15:00   2026-03-11 14:45:31 
19596247_73      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.3%    00:54:40     00:13:40     00:15:00   2026-03-11 14:45:31 
19596247_75      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.3%    00:54:48     00:13:42     00:15:00   2026-03-11 14:45:33 
19596247_58      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.9%   98.9%    00:54:56     00:13:44     00:15:00   2026-03-11 14:45:35 
19596247_60      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           6.0%   98.9%    00:55:12     00:13:48     00:15:00   2026-03-11 14:45:39 
19596247_64      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           6.0%   99.0%    00:55:28     00:13:52     00:15:00   2026-03-11 14:45:43 
19596247_63      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.9%   99.1%    00:55:48     00:13:57     00:15:00   2026-03-11 14:45:48 
19596247_85      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           7.8%   99.2%    00:56:00     00:14:00     00:15:00   2026-03-11 14:45:51 
19596247_90      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.6%   99.1%    00:56:00     00:14:00     00:15:00   2026-03-11 14:45:51 
19596247_65      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB          21.9%   99.1%    00:56:04     00:14:01     00:15:00   2026-03-11 14:45:52 
19596247_88      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB          33.9%   99.1%    00:56:04     00:14:01     00:15:00   2026-03-11 14:45:52 
19596247_87      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.4%   99.2%    00:56:08     00:14:02     00:15:00   2026-03-11 14:45:53 
19596247_80      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.1%    00:56:12     00:14:03     00:15:00   2026-03-11 14:45:54 
19596247_82      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.2%    00:56:12     00:14:03     00:15:00   2026-03-11 14:45:54 
19596247_62      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.4%   99.3%    00:56:16     00:14:04     00:15:00   2026-03-11 14:45:55 
